epoch,box,dfl,cls,Recall,Precision,mAP@50,mAP
199,1.254,1.254,0.730,0.727,0.727,0.833,0.530
200,1.256,1.256,0.731,0.727,0.727,0.833,0.530
201,1.251,1.251,0.728,0.727,0.727,0.833,0.531
202,1.256,1.256,0.730,0.726,0.726,0.833,0.531
203,1.249,1.249,0.727,0.726,0.726,0.833,0.531
204,1.250,1.250,0.726,0.726,0.726,0.833,0.531
205,1.251,1.251,0.728,0.726,0.726,0.833,0.531
206,1.253,1.253,0.729,0.726,0.726,0.833,0.531
207,1.252,1.252,0.730,0.727,0.727,0.833,0.531
208,1.249,1.249,0.727,0.726,0.726,0.833,0.531
209,1.250,1.250,0.729,0.726,0.726,0.833,0.531
210,1.248,1.248,0.722,0.728,0.728,0.833,0.531
211,1.252,1.252,0.727,0.727,0.727,0.833,0.531
212,1.249,1.249,0.726,0.728,0.728,0.833,0.531
213,1.246,1.246,0.726,0.728,0.728,0.833,0.531
214,1.248,1.248,0.725,0.728,0.728,0.834,0.531
215,1.245,1.245,0.724,0.728,0.728,0.834,0.531
216,1.245,1.245,0.722,0.728,0.728,0.834,0.531
217,1.248,1.248,0.723,0.728,0.728,0.834,0.531
218,1.248,1.248,0.723,0.728,0.728,0.834,0.531
219,1.245,1.245,0.723,0.728,0.728,0.834,0.531
220,1.247,1.247,0.724,0.728,0.728,0.834,0.531
221,1.244,1.244,0.722,0.728,0.728,0.834,0.531
222,1.247,1.247,0.722,0.728,0.728,0.834,0.531
223,1.248,1.248,0.724,0.728,0.728,0.834,0.531
224,1.247,1.247,0.725,0.728,0.728,0.834,0.531
225,1.246,1.246,0.722,0.728,0.728,0.834,0.531
226,1.245,1.245,0.722,0.729,0.729,0.834,0.531
227,1.244,1.244,0.724,0.728,0.728,0.834,0.531
228,1.244,1.244,0.722,0.729,0.729,0.834,0.531
229,1.242,1.242,0.720,0.729,0.729,0.834,0.531
230,1.243,1.243,0.721,0.729,0.729,0.834,0.531
231,1.245,1.245,0.721,0.729,0.729,0.834,0.531
232,1.242,1.242,0.721,0.730,0.730,0.834,0.531
233,1.246,1.246,0.722,0.730,0.730,0.834,0.532
234,1.245,1.245,0.722,0.730,0.730,0.834,0.532
235,1.240,1.240,0.718,0.730,0.730,0.834,0.532
236,1.243,1.243,0.720,0.729,0.729,0.834,0.532
237,1.239,1.239,0.718,0.730,0.730,0.834,0.532
238,1.240,1.240,0.717,0.729,0.729,0.834,0.532
239,1.241,1.241,0.718,0.730,0.730,0.834,0.532
240,1.244,1.244,0.720,0.730,0.730,0.834,0.532
241,1.241,1.241,0.718,0.730,0.730,0.834,0.532
242,1.240,1.240,0.719,0.731,0.731,0.834,0.532
243,1.241,1.241,0.720,0.731,0.731,0.834,0.532
244,1.243,1.243,0.721,0.730,0.730,0.834,0.532
245,1.239,1.239,0.719,0.731,0.731,0.834,0.532
246,1.237,1.237,0.717,0.730,0.730,0.834,0.532
247,1.237,1.237,0.719,0.730,0.730,0.834,0.532
248,1.240,1.240,0.723,0.730,0.730,0.834,0.532
249,1.238,1.238,0.715,0.730,0.730,0.834,0.533
250,1.239,1.239,0.719,0.730,0.730,0.834,0.532
251,1.238,1.238,0.718,0.730,0.730,0.835,0.533
252,1.237,1.237,0.715,0.729,0.729,0.834,0.533
253,1.238,1.238,0.715,0.730,0.730,0.834,0.533
254,1.237,1.237,0.717,0.729,0.729,0.835,0.533
255,1.235,1.235,0.714,0.729,0.729,0.835,0.533
256,1.239,1.239,0.717,0.729,0.729,0.835,0.533
257,1.238,1.238,0.719,0.730,0.730,0.835,0.533
258,1.236,1.236,0.714,0.730,0.730,0.835,0.533
259,1.237,1.237,0.714,0.730,0.730,0.835,0.533
260,1.237,1.237,0.714,0.730,0.730,0.835,0.533
261,1.237,1.237,0.713,0.730,0.730,0.835,0.533
262,1.233,1.233,0.714,0.729,0.729,0.835,0.533
263,1.234,1.234,0.712,0.730,0.730,0.835,0.533
264,1.237,1.237,0.716,0.730,0.730,0.835,0.533
265,1.236,1.236,0.715,0.730,0.730,0.835,0.533
266,1.235,1.235,0.713,0.730,0.730,0.835,0.533
267,1.233,1.233,0.713,0.730,0.730,0.835,0.533
268,1.238,1.238,0.714,0.730,0.730,0.835,0.533
269,1.234,1.234,0.713,0.730,0.730,0.835,0.533
270,1.233,1.233,0.715,0.730,0.730,0.835,0.533
271,1.235,1.235,0.714,0.730,0.730,0.835,0.533
272,1.233,1.233,0.710,0.730,0.730,0.835,0.533
273,1.234,1.234,0.713,0.730,0.730,0.835,0.533
274,1.235,1.235,0.717,0.730,0.730,0.835,0.533
275,1.235,1.235,0.715,0.730,0.730,0.835,0.533
276,1.235,1.235,0.712,0.730,0.730,0.836,0.533
277,1.231,1.231,0.711,0.731,0.731,0.836,0.533
278,1.233,1.233,0.711,0.730,0.730,0.836,0.533
279,1.232,1.232,0.711,0.730,0.730,0.836,0.533
280,1.232,1.232,0.712,0.730,0.730,0.835,0.533
281,1.228,1.228,0.710,0.730,0.730,0.836,0.533
282,1.228,1.228,0.710,0.730,0.730,0.836,0.534
283,1.229,1.229,0.710,0.730,0.730,0.836,0.534
284,1.231,1.231,0.710,0.730,0.730,0.836,0.534
285,1.227,1.227,0.708,0.731,0.731,0.836,0.534
286,1.227,1.227,0.707,0.731,0.731,0.836,0.534
287,1.229,1.229,0.707,0.730,0.730,0.836,0.534
288,1.228,1.228,0.709,0.730,0.730,0.836,0.534
289,1.226,1.226,0.708,0.731,0.731,0.836,0.534
290,1.227,1.227,0.707,0.731,0.731,0.836,0.534
291,1.227,1.227,0.707,0.731,0.731,0.836,0.534
292,1.227,1.227,0.709,0.731,0.731,0.836,0.534
293,1.233,1.233,0.711,0.731,0.731,0.836,0.534
294,1.227,1.227,0.709,0.731,0.731,0.836,0.534
295,1.232,1.232,0.710,0.731,0.731,0.836,0.534
296,1.222,1.222,0.705,0.731,0.731,0.836,0.534
297,1.228,1.228,0.710,0.732,0.732,0.836,0.534
298,1.226,1.226,0.708,0.731,0.731,0.836,0.534
299,1.227,1.227,0.708,0.732,0.732,0.836,0.534
300,1.224,1.224,0.706,0.732,0.732,0.836,0.534
301,1.225,1.225,0.704,0.732,0.732,0.836,0.534
